/System/Library/Frameworks/Python.framework/Versions/2.7/bin/python2.7 /Users/libo/Documents/COMP4680-Advanced_SML/Project_02/Particle_Filter/main.py
iter=272, top_10p_weight=0.6098, time=16.3
iter=273, top_10p_weight=0.9197, time=16.1
iter=274, top_10p_weight=0.8782, time=16.1
iter=275, top_10p_weight=0.8042, time=16.7
iter=276, top_10p_weight=0.7836, time=15.9
iter=277, top_10p_weight=0.7048, time=16.0
iter=278, top_10p_weight=0.5025, time=16.5
iter=279, top_10p_weight=0.5673, time=15.8
iter=280, top_10p_weight=0.5777, time=15.8
iter=281, top_10p_weight=0.5319, time=16.7
iter=282, top_10p_weight=0.5799, time=16.8
iter=283, top_10p_weight=0.8089, time=16.9
iter=284, top_10p_weight=0.8414, time=16.7
iter=285, top_10p_weight=0.8129, time=15.6
iter=286, top_10p_weight=0.8691, time=16.3
iter=287, top_10p_weight=0.8833, time=16.2
iter=288, top_10p_weight=0.921, time=16.6
iter=289, top_10p_weight=0.9075, time=16.2
iter=290, top_10p_weight=0.8922, time=15.8
iter=291, top_10p_weight=0.6895, time=16.3
iter=292, top_10p_weight=0.7653, time=16.2
iter=293, top_10p_weight=0.7727, time=15.6
iter=294, top_10p_weight=0.8742, time=15.6
iter=295, top_10p_weight=0.7499, time=15.7
iter=296, top_10p_weight=0.7105, time=16.7
iter=297, top_10p_weight=0.7725, time=16.6
iter=298, top_10p_weight=0.8395, time=16.4
iter=299, top_10p_weight=0.9057, time=15.8
iter=300, top_10p_weight=0.8559, time=15.6
iter=301, top_10p_weight=0.7437, time=16.6
iter=302, top_10p_weight=0.8742, time=16.2
iter=303, top_10p_weight=0.9073, time=16.2
iter=304, top_10p_weight=0.9393, time=16.1
iter=305, top_10p_weight=0.8276, time=16.5
iter=306, top_10p_weight=0.8943, time=15.9
iter=307, top_10p_weight=0.8186, time=16.5
iter=308, top_10p_weight=0.789, time=16.6
iter=309, top_10p_weight=0.6639, time=16.6
iter=310, top_10p_weight=0.7812, time=16.8
iter=311, top_10p_weight=0.7958, time=16.5
iter=312, top_10p_weight=0.8656, time=16.6
iter=313, top_10p_weight=0.8491, time=17.4
iter=314, top_10p_weight=0.9164, time=17.2
iter=315, top_10p_weight=0.8605, time=16.8
iter=316, top_10p_weight=0.755, time=16.8
iter=317, top_10p_weight=0.754, time=16.6
iter=318, top_10p_weight=0.8669, time=16.4
iter=319, top_10p_weight=0.8845, time=16.5
iter=320, top_10p_weight=0.6882, time=17.6
iter=321, top_10p_weight=0.8474, time=17.4
iter=322, top_10p_weight=0.7897, time=17.1
iter=323, top_10p_weight=0.8654, time=18.1
iter=324, top_10p_weight=0.7431, time=16.6
iter=325, top_10p_weight=0.8886, time=18.0
iter=326, top_10p_weight=0.8295, time=16.6
iter=327, top_10p_weight=0.8763, time=17.4
iter=328, top_10p_weight=0.8403, time=16.8
iter=329, top_10p_weight=0.7576, time=17.3
iter=330, top_10p_weight=0.7655, time=17.5
iter=331, top_10p_weight=0.8227, time=16.9
iter=332, top_10p_weight=0.7876, time=17.0
iter=333, top_10p_weight=0.7863, time=17.5
iter=334, top_10p_weight=0.798, time=17.7
iter=335, top_10p_weight=0.7231, time=17.1
iter=336, top_10p_weight=0.7707, time=17.1
iter=337, top_10p_weight=0.8918, time=17.2
iter=338, top_10p_weight=0.8724, time=17.8
iter=339, top_10p_weight=0.8934, time=17.8
iter=340, top_10p_weight=0.9567, time=18.0
iter=341, top_10p_weight=0.8749, time=18.2
iter=342, top_10p_weight=0.8904, time=18.1
iter=343, top_10p_weight=0.8744, time=18.1
iter=344, top_10p_weight=0.8527, time=17.5
iter=345, top_10p_weight=0.8309, time=18.0
iter=346, top_10p_weight=0.8566, time=18.1
iter=347, top_10p_weight=0.8507, time=18.3
iter=348, top_10p_weight=0.7701, time=18.2
iter=349, top_10p_weight=0.8243, time=18.7
iter=350, top_10p_weight=0.8378, time=18.2
iter=351, top_10p_weight=0.8002, time=19.1
iter=352, top_10p_weight=0.7576, time=19.3
iter=353, top_10p_weight=0.8456, time=19.3
iter=354, top_10p_weight=0.7768, time=20.0
iter=355, top_10p_weight=0.7298, time=19.9
iter=356, top_10p_weight=0.8905, time=19.6
iter=357, top_10p_weight=0.6918, time=19.6
iter=358, top_10p_weight=0.8782, time=19.5
iter=359, top_10p_weight=0.8973, time=19.3
iter=360, top_10p_weight=0.7492, time=19.4
iter=361, top_10p_weight=0.7067, time=19.6
iter=362, top_10p_weight=0.757, time=19.4
iter=363, top_10p_weight=0.8773, time=19.3
iter=364, top_10p_weight=0.8783, time=19.4
iter=365, top_10p_weight=0.8216, time=19.2
iter=366, top_10p_weight=0.8256, time=19.3
iter=367, top_10p_weight=0.8089, time=18.8
iter=368, top_10p_weight=0.7837, time=19.5
iter=369, top_10p_weight=0.8052, time=19.6
iter=370, top_10p_weight=0.6797, time=18.9
iter=371, top_10p_weight=0.8177, time=19.6
iter=372, top_10p_weight=0.7749, time=19.7
iter=373, top_10p_weight=0.8227, time=20.2
iter=374, top_10p_weight=0.8629, time=19.9
iter=375, top_10p_weight=0.8419, time=19.3
iter=376, top_10p_weight=0.8332, time=19.9
iter=377, top_10p_weight=0.673, time=20.1
iter=378, top_10p_weight=0.8863, time=20.2
iter=379, top_10p_weight=0.8758, time=20.5
iter=380, top_10p_weight=0.8988, time=20.2
iter=381, top_10p_weight=0.7784, time=20.2
iter=382, top_10p_weight=0.7153, time=20.3
iter=383, top_10p_weight=0.8866, time=20.4
iter=384, top_10p_weight=0.8968, time=20.4
iter=385, top_10p_weight=0.8195, time=20.4
iter=386, top_10p_weight=0.7897, time=19.8
iter=387, top_10p_weight=0.8047, time=20.3
iter=388, top_10p_weight=0.8026, time=19.9
iter=389, top_10p_weight=0.8028, time=19.8
iter=390, top_10p_weight=0.7249, time=19.8
iter=391, top_10p_weight=0.7602, time=19.9
iter=392, top_10p_weight=0.8722, time=20.4
iter=393, top_10p_weight=0.8689, time=20.4
iter=394, top_10p_weight=0.9181, time=19.8
iter=395, top_10p_weight=0.801, time=21.3
iter=396, top_10p_weight=0.6588, time=20.0
iter=397, top_10p_weight=0.7914, time=20.2
iter=398, top_10p_weight=0.7978, time=20.7
iter=399, top_10p_weight=0.8607, time=20.3
iter=400, top_10p_weight=0.8123, time=20.7
iter=401, top_10p_weight=0.8669, time=20.4
iter=402, top_10p_weight=0.8264, time=20.3
