/System/Library/Frameworks/Python.framework/Versions/2.7/bin/python2.7 /Users/libo/Documents/COMP4680-Advanced_SML/Project_02/Particle_Filter/main.py
iter=283, top10p_weight=0.06722, time=3.29
iter=284, top10p_weight=0.06584, time=3.18
iter=285, top10p_weight=0.05549, time=2.83
iter=286, top10p_weight=0.08276, time=2.92
iter=287, top10p_weight=0.06207, time=3.51
iter=288, top10p_weight=0.07379, time=3.78
iter=289, top10p_weight=0.0772, time=3.45
iter=290, top10p_weight=0.0751, time=2.56
iter=291, top10p_weight=0.04463, time=3.05
iter=292, top10p_weight=0.05869, time=2.62
iter=293, top10p_weight=0.07301, time=3.14
iter=294, top10p_weight=0.05706, time=3.38
iter=295, top10p_weight=0.04624, time=2.7
iter=296, top10p_weight=0.05579, time=3.03
iter=297, top10p_weight=0.0584, time=3.48
iter=298, top10p_weight=0.0477, time=2.54
iter=299, top10p_weight=0.07314, time=3.39
iter=300, top10p_weight=0.07054, time=3.32
iter=301, top10p_weight=0.05045, time=3.27
iter=302, top10p_weight=0.07397, time=2.9
iter=303, top10p_weight=0.07399, time=3.0
iter=304, top10p_weight=0.08065, time=3.07
iter=305, top10p_weight=0.06914, time=2.97
iter=306, top10p_weight=0.04949, time=2.65
iter=307, top10p_weight=0.05779, time=2.65
iter=308, top10p_weight=0.05696, time=2.64
iter=309, top10p_weight=0.05299, time=3.77
iter=310, top10p_weight=0.07143, time=3.02
iter=311, top10p_weight=0.04381, time=2.91
iter=312, top10p_weight=0.002113, time=3.13
iter=313, top10p_weight=0.05456, time=3.49
iter=314, top10p_weight=0.05516, time=3.16
iter=315, top10p_weight=0.06369, time=3.07
iter=316, top10p_weight=0.05751, time=2.57
iter=317, top10p_weight=0.05863, time=2.93
iter=318, top10p_weight=0.07029, time=2.98
iter=319, top10p_weight=0.001711, time=2.97
iter=320, top10p_weight=0.049, time=3.14
iter=321, top10p_weight=0.05915, time=3.18
iter=322, top10p_weight=0.001838, time=2.49
iter=323, top10p_weight=0.0596, time=3.51
iter=324, top10p_weight=0.05028, time=3.38
iter=325, top10p_weight=0.073, time=3.01
iter=326, top10p_weight=0.06861, time=2.56
iter=327, top10p_weight=0.08075, time=2.62
iter=328, top10p_weight=0.07457, time=2.9
iter=329, top10p_weight=0.05419, time=2.85
iter=330, top10p_weight=0.05777, time=2.54
iter=331, top10p_weight=0.05784, time=3.13
iter=332, top10p_weight=0.0642, time=2.78
iter=333, top10p_weight=0.05857, time=2.53
iter=334, top10p_weight=0.04777, time=2.93
iter=335, top10p_weight=0.05375, time=2.85
iter=336, top10p_weight=0.07034, time=2.65
iter=337, top10p_weight=0.07433, time=2.55
iter=338, top10p_weight=0.0561, time=2.46
iter=339, top10p_weight=0.0522, time=2.81
iter=340, top10p_weight=0.07317, time=2.52
iter=341, top10p_weight=0.06521, time=3.1
iter=342, top10p_weight=0.07151, time=3.22
iter=343, top10p_weight=0.06248, time=3.03
iter=344, top10p_weight=0.0556, time=2.53
iter=345, top10p_weight=0.06268, time=2.98
iter=346, top10p_weight=0.07179, time=2.63
iter=347, top10p_weight=0.07137, time=2.69
iter=348, top10p_weight=0.0446, time=2.83
iter=349, top10p_weight=0.0551, time=2.98
iter=350, top10p_weight=0.005613, time=3.52
iter=351, top10p_weight=0.05431, time=3.88
iter=352, top10p_weight=0.05765, time=3.02
iter=353, top10p_weight=0.004005, time=2.87
iter=354, top10p_weight=0.04039, time=4.29
iter=355, top10p_weight=0.0489, time=4.4
iter=356, top10p_weight=0.05057, time=3.01
iter=357, top10p_weight=0.04271, time=3.41
iter=358, top10p_weight=0.06563, time=3.47
iter=359, top10p_weight=0.04062, time=3.6
iter=360, top10p_weight=0.05432, time=3.55
iter=361, top10p_weight=0.04717, time=3.31
iter=362, top10p_weight=0.0523, time=2.9
iter=363, top10p_weight=0.0525, time=3.52
iter=364, top10p_weight=0.07231, time=3.57
iter=365, top10p_weight=0.06468, time=2.84
iter=366, top10p_weight=0.06201, time=3.38
iter=367, top10p_weight=0.05236, time=3.4
iter=368, top10p_weight=0.06579, time=3.4
iter=369, top10p_weight=0.0527, time=2.75
iter=370, top10p_weight=0.04636, time=3.33
iter=371, top10p_weight=0.05117, time=3.39
iter=372, top10p_weight=0.04454, time=3.4
iter=373, top10p_weight=0.04678, time=3.48
iter=374, top10p_weight=0.07605, time=4.33
iter=375, top10p_weight=0.04766, time=3.87
iter=376, top10p_weight=0.05575, time=3.56
iter=377, top10p_weight=0.05104, time=3.37
iter=378, top10p_weight=0.06131, time=3.68
iter=379, top10p_weight=0.07502, time=2.95
iter=380, top10p_weight=0.07471, time=2.98
iter=381, top10p_weight=0.06157, time=3.57
iter=382, top10p_weight=0.04446, time=3.58
iter=383, top10p_weight=0.05651, time=3.05
iter=384, top10p_weight=0.06027, time=3.09
iter=385, top10p_weight=0.05958, time=2.91
iter=386, top10p_weight=0.06183, time=3.38
iter=387, top10p_weight=0.06343, time=3.57
iter=388, top10p_weight=0.06671, time=3.46
iter=389, top10p_weight=0.0713, time=3.35
iter=390, top10p_weight=0.04432, time=3.16
iter=391, top10p_weight=0.06537, time=3.44
iter=392, top10p_weight=0.06804, time=3.33
iter=393, top10p_weight=0.07194, time=3.27
iter=394, top10p_weight=0.07162, time=2.91
iter=395, top10p_weight=0.05361, time=3.12
iter=396, top10p_weight=0.04894, time=3.25
iter=397, top10p_weight=0.063, time=3.45
iter=398, top10p_weight=0.06347, time=3.52
iter=399, top10p_weight=0.0744, time=3.51
iter=400, top10p_weight=0.06031, time=3.42
iter=401, top10p_weight=0.07329, time=3.42
iter=402, top10p_weight=0.05933, time=3.4
iter=403, top10p_weight=0.003242, time=3.43
iter=404, top10p_weight=0.07792, time=3.48
iter=405, top10p_weight=0.05559, time=3.84
iter=406, top10p_weight=0.05721, time=3.53
iter=407, top10p_weight=0.07793, time=3.36
iter=408, top10p_weight=0.0504, time=3.37
iter=409, top10p_weight=0.06544, time=3.52
iter=410, top10p_weight=0.0587, time=3.49
iter=411, top10p_weight=0.0435, time=3.64
iter=412, top10p_weight=0.06388, time=3.75
iter=413, top10p_weight=0.06941, time=3.7
iter=414, top10p_weight=0.06263, time=3.49
iter=415, top10p_weight=0.06692, time=3.13
iter=416, top10p_weight=0.07036, time=3.58
iter=417, top10p_weight=0.07266, time=3.15
iter=418, top10p_weight=0.06996, time=3.13
iter=419, top10p_weight=0.08635, time=3.32
iter=420, top10p_weight=0.07999, time=4.1
iter=421, top10p_weight=0.07531, time=3.07
iter=422, top10p_weight=0.09189, time=3.12
iter=423, top10p_weight=0.08305, time=3.02
iter=424, top10p_weight=0.07683, time=3.35
iter=425, top10p_weight=0.08905, time=3.89
iter=426, top10p_weight=0.06816, time=3.9
iter=427, top10p_weight=0.06145, time=3.4
iter=428, top10p_weight=0.06492, time=4.65
iter=429, top10p_weight=0.07431, time=4.35
iter=430, top10p_weight=0.08851, time=3.89
iter=431, top10p_weight=0.06575, time=4.35
iter=432, top10p_weight=0.07796, time=4.4
iter=433, top10p_weight=0.08605, time=4.04
iter=434, top10p_weight=0.09796, time=4.54
iter=435, top10p_weight=0.07254, time=3.42
iter=436, top10p_weight=0.08527, time=3.73
iter=437, top10p_weight=0.0851, time=3.4
iter=438, top10p_weight=0.09468, time=3.82
iter=439, top10p_weight=0.09749, time=3.88
iter=440, top10p_weight=0.07206, time=4.12
iter=441, top10p_weight=0.08049, time=3.78
iter=442, top10p_weight=0.07269, time=3.85
iter=443, top10p_weight=0.08685, time=4.5
iter=444, top10p_weight=0.08767, time=4.61
iter=445, top10p_weight=0.06464, time=4.67
iter=446, top10p_weight=0.08, time=5.09
iter=447, top10p_weight=0.07597, time=4.47
iter=448, top10p_weight=0.08643, time=4.35
iter=449, top10p_weight=0.08899, time=4.42
iter=450, top10p_weight=0.08349, time=5.69
iter=451, top10p_weight=0.06725, time=6.63
iter=452, top10p_weight=0.06226, time=4.66
iter=453, top10p_weight=0.03946, time=5.21
iter=454, top10p_weight=0.04397, time=5.99
iter=455, top10p_weight=0.04146, time=4.61
iter=456, top10p_weight=0.04534, time=5.39
iter=457, top10p_weight=0.04849, time=4.95
iter=458, top10p_weight=0.06, time=4.82
iter=459, top10p_weight=0.004556, time=4.65
iter=460, top10p_weight=0.05135, time=5.12
